
Country Name,Series Name,2000 [YR2000,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Namibia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.26,3.15,3.04,2.92,2.81,2.7,2.56,2.42,2.27,2.13,1.99,2.64,3.29,3.93,4.58,5.23,5.3,5.36,5.43,..
Namibia,Prevalence of current tobacco use (% of adults),25.6,24.94,24.28,23.62,22.96,22.3,21.74,21.18,20.62,20.06,19.5,19.02,18.54,18.06,17.58,17.1,16.57,16.03,15.5,15.5
Nepal,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.12,1.29,1.45,1.62,1.78,1.95,1.95,1.95,1.94,1.94,1.94,1.96,1.98,2.01,2.03,2.05,2.05,2.05,2.05,..
Nepal,Prevalence of current tobacco use (% of adults),64.5,62.3,60.1,57.9,55.7,53.5,51.52,49.54,47.56,45.58,43.6,42.08,40.56,39.04,37.52,36,34.5,33,31.5,31.5
Netherlands,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.08,11.01,10.93,10.86,10.78,10.71,10.61,10.51,10.41,10.31,10.21,10.08,9.95,9.81,9.68,9.55,9.57,9.59,9.61,..
Netherlands,Prevalence of current tobacco use (% of adults),34.3,33.56,32.82,32.08,31.34,30.6,29.98,29.36,28.74,28.12,27.5,26.92,26.34,25.76,25.18,24.6,23.93,23.27,22.6,22.6
New Caledonia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
New Caledonia,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
New Zealand,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.42,10.52,10.62,10.72,10.82,10.92,11,11.08,11.16,11.24,11.32,11.14,10.97,10.79,10.62,10.44,10.5,10.57,10.63,..
New Zealand,Prevalence of current tobacco use (% of adults),29.6,28.54,27.48,26.42,25.36,24.3,23.46,22.62,21.78,20.94,20.1,19.38,18.66,17.94,17.22,16.5,15.73,14.97,14.2,14.2
Nicaragua,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.05,5.1,5.15,5.2,5.25,5.3,5.2,5.1,4.99,4.89,4.79,4.84,4.89,4.93,4.98,5.03,5.08,5.13,5.18,..
Nicaragua,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Niger,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.27,0.29,0.3,0.31,0.36,0.41,0.45,0.5,0.55,0.59,0.63,0.67,..
Niger,Prevalence of current tobacco use (% of adults),9.7,9.56,9.42,9.28,9.14,9,8.88,8.76,8.64,8.52,8.4,8.3,8.2,8.1,8,7.9,7.8,7.7,7.6,7.6
Nigeria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.5,12.5,12.5,12.51,12.51,12.51,12.35,12.19,12.04,11.88,11.72,11.54,11.36,11.17,10.99,10.81,10.82,10.83,10.84,..
Nigeria,Prevalence of current tobacco use (% of adults),9.3,8.92,8.54,8.16,7.78,7.4,7.1,6.8,6.5,6.2,5.9,5.66,5.42,5.18,4.94,4.7,4.43,4.17,3.9,3.9
North Macedonia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.31,7.25,7.2,7.14,7.09,7.03,6.81,6.59,6.37,6.15,5.93,5.93,5.93,5.93,5.93,5.93,6.01,6.08,6.16,..
North Macedonia,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Northern Mariana Islands,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Northern Mariana Islands,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Norway,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.95,8.13,8.32,8.5,8.69,8.87,8.88,8.9,8.91,8.93,8.94,8.66,8.37,8.09,7.8,7.52,7.48,7.45,7.41,..
Norway,Prevalence of current tobacco use (% of adults),44,42.06,40.12,38.18,36.24,34.3,32.78,31.26,29.74,28.22,26.7,25.5,24.3,23.1,21.9,20.7,19.5,18.3,17.1,17.1
Oman,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.56,5.56,4.56,3.56,2.56,1.56,1.39,1.23,1.06,0.9,0.73,0.74,0.75,0.75,0.76,0.77,0.77,0.78,0.78,..
Oman,Prevalence of current tobacco use (% of adults),7.6,7.62,7.64,7.66,7.68,7.7,7.7,7.7,7.7,7.7,7.7,7.72,7.74,7.76,7.78,7.8,7.83,7.87,7.9,7.9
Pakistan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.09,0.1,0.12,0.13,0.15,0.16,0.17,0.17,0.18,0.18,0.19,0.21,0.23,0.25,0.27,0.29,0.31,0.32,0.34,..
Pakistan,Prevalence of current tobacco use (% of adults),37.5,36.38,35.26,34.14,33.02,31.9,31,30.1,29.2,28.3,27.4,26.64,25.88,25.12,24.36,23.6,22.67,21.73,20.8,20.8
Panama,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.48,5.48,5.48,5.49,5.49,5.49,5.76,6.03,6.3,6.57,6.84,7.01,7.19,7.36,7.54,7.71,7.8,7.89,7.98,..
Panama,Prevalence of current tobacco use (% of adults),13.4,12.82,12.24,11.66,11.08,10.5,10.04,9.58,9.12,8.66,8.2,7.84,7.48,7.12,6.76,6.4,6.03,5.67,5.3,5.3
Papua New Guinea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.79,1.75,1.71,1.68,1.64,1.6,1.61,1.63,1.64,1.66,1.67,1.61,1.56,1.5,1.45,1.39,1.39,1.39,1.39,..
Papua New Guinea,Prevalence of current tobacco use (% of adults),54.1,53.22,52.34,51.46,50.58,49.7,48.94,48.18,47.42,46.66,45.9,45.22,44.54,43.86,43.18,42.5,41.63,40.77,39.9,39.9
Paraguay,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.38,6.44,6.49,6.55,6.6,6.66,6.84,7.03,7.21,7.4,7.58,7.52,7.45,7.39,7.32,7.26,7.37,7.47,7.58,..
Paraguay,Prevalence of current tobacco use (% of adults),29.1,27.88,26.66,25.44,24.22,23,22.04,21.08,20.12,19.16,18.2,17.46,16.72,15.98,15.24,14.5,13.7,12.9,12.1,12.1
Peru,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.54,6.63,6.72,6.81,6.9,6.99,7.13,7.27,7.41,7.55,7.69,7.48,7.27,7.05,6.84,6.63,6.55,6.46,6.38,..
Peru,Prevalence of current tobacco use (% of adults),32.9,30.94,28.98,27.02,25.06,23.1,21.74,20.38,19.02,17.66,16.3,15.34,14.38,13.42,12.46,11.5,10.57,9.63,8.7,8.7
Philippines,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.06,5.98,5.9,5.83,5.75,5.67,5.93,6.19,6.46,6.72,6.98,6.92,6.87,6.81,6.76,6.7,6.75,6.81,6.86,..
Philippines,Prevalence of current tobacco use (% of adults),34.9,34.24,33.58,32.92,32.26,31.6,30.94,30.28,29.62,28.96,28.3,27.72,27.14,26.56,25.98,25.4,24.73,24.07,23.4,23.4
Poland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.17,9.46,9.74,10.03,10.31,10.6,10.72,10.84,10.97,11.09,11.21,11.29,11.38,11.46,11.55,11.63,11.66,11.68,11.71,..
Poland,Prevalence of current tobacco use (% of adults),39.6,38.68,37.76,36.84,35.92,35,34.16,33.32,32.48,31.64,30.8,30.08,29.36,28.64,27.92,27.2,26.37,25.53,24.7,24.7
Portugal,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",14.08,13.94,13.8,13.65,13.51,13.37,13.2,13.03,12.85,12.68,12.51,12.38,12.26,12.13,12.01,11.88,11.93,11.98,12.03,..
Portugal,Prevalence of current tobacco use (% of adults),25.7,25.62,25.54,25.46,25.38,25.3,25.3,25.3,25.3,25.3,25.3,25.28,25.26,25.24,25.22,25.2,25.23,25.27,25.3,25.3
Puerto Rico,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Puerto Rico,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Qatar,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.15,1.25,1.36,1.46,1.57,1.67,1.67,1.68,1.68,1.69,1.69,1.68,1.66,1.65,1.63,1.62,1.61,1.6,1.59,..
Qatar,Prevalence of current tobacco use (% of adults),13.5,13.4,13.3,13.2,13.1,13,12.92,12.84,12.76,12.68,12.6,12.52,12.44,12.36,12.28,12.2,12.13,12.07,12,12
Romania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",17.45,17.13,16.81,16.48,16.16,15.84,15.47,15.09,14.72,14.34,13.97,13.5,13.04,12.57,12.11,11.64,11.67,11.71,11.74,..
Romania,Prevalence of current tobacco use (% of adults),35,34.64,34.28,33.92,33.56,33.2,32.84,32.48,32.12,31.76,31.4,31.06,30.72,30.38,30.04,29.7,29.27,28.83,28.4,28.4
Russian Federation,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15.73,16.06,16.38,16.71,17.03,17.36,17.06,16.76,16.47,16.17,15.87,15.19,14.51,13.83,13.15,12.47,12.04,11.62,11.19,..
Russian Federation,Prevalence of current tobacco use (% of adults),33.3,32.9,32.5,32.1,31.7,31.3,31,30.7,30.4,30.1,29.8,29.5,29.2,28.9,28.6,28.3,27.9,27.5,27.1,27.1
Rwanda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.73,13.58,13.44,13.29,13.15,13,12.45,11.91,11.36,10.82,10.27,10.07,9.87,9.66,9.46,9.26,9.16,9.05,8.95,..
Rwanda,Prevalence of current tobacco use (% of adults),24.8,24.1,23.4,22.7,22,21.3,20.74,20.18,19.62,19.06,18.5,17.98,17.46,16.94,16.42,15.9,15.3,14.7,14.1,14.1
Samoa,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.79,3.87,3.95,4.04,4.12,4.2,3.95,3.71,3.46,3.22,2.97,2.89,2.82,2.74,2.67,2.59,2.61,2.64,2.66,..
Samoa,Prevalence of current tobacco use (% of adults),39,38.2,37.4,36.6,35.8,35,34.28,33.56,32.84,32.12,31.4,30.74,30.08,29.42,28.76,28.1,27.37,26.63,25.9,25.9
Sao Tome and Principe,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.2,8.3,8.41,8.51,8.62,8.72,8.64,8.57,8.49,8.42,8.34,8.11,7.88,7.65,7.42,7.19,6.75,6.32,5.88,..
Sao Tome and Principe,Prevalence of current tobacco use (% of adults),7.8,7.68,7.56,7.44,7.32,7.2,7.08,6.96,6.84,6.72,6.6,6.52,6.44,6.36,6.28,6.2,6.07,5.93,5.8,5.8
Saudi Arabia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.2,0.19,0.19,..
Saudi Arabia,Prevalence of current tobacco use (% of adults),14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
Senegal,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.96,0.94,0.92,0.89,0.87,0.85,0.8,0.75,0.7,0.65,0.6,0.63,0.65,0.68,0.7,0.73,0.74,0.75,0.76,..
Senegal,Prevalence of current tobacco use (% of adults),14.3,13.82,13.34,12.86,12.38,11.9,11.5,11.1,10.7,10.3,9.9,9.58,9.26,8.94,8.62,8.3,7.9,7.5,7.1,7.1
Serbia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11.69,11.09,10.49,9.9,9.3,8.7,8.72,8.73,8.75,..
Serbia,Prevalence of current tobacco use (% of adults),45.1,44.82,44.54,44.26,43.98,43.7,43.42,43.14,42.86,42.58,42.3,42.02,41.74,41.46,41.18,40.9,40.63,40.37,40.1,40.1
Sierra Leone,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.8,5.75,5.71,5.66,5.62,5.57,5.62,5.67,5.73,5.78,5.83,5.79,5.75,5.71,5.67,5.63,5.65,5.68,5.7,..
Sierra Leone,Prevalence of current tobacco use (% of adults),43.7,41.48,39.26,37.04,34.82,32.6,30.94,29.28,27.62,25.96,24.3,23.06,21.82,20.58,19.34,18.1,16.83,15.57,14.3,14.3
Singapore,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.49,2.35,2.21,2.06,1.92,1.78,1.86,1.94,2.03,2.11,2.19,2.17,2.14,2.12,2.09,2.07,2.06,2.04,2.03,..
Singapore,Prevalence of current tobacco use (% of adults),16.4,16.42,16.44,16.46,16.48,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.53,16.57,16.6,16.6
Sint Maarten (Dutch part),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Sint Maarten (Dutch part),Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Slovakia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.47,12.39,12.31,12.22,12.14,12.06,12.05,12.04,12.02,12.01,12,11.91,11.81,11.72,11.62,11.53,11.4,11.27,11.14,..
Slovakia,Prevalence of current tobacco use (% of adults),32,31.94,31.88,31.82,31.76,31.7,31.68,31.66,31.64,31.62,31.6,31.58,31.56,31.54,31.52,31.5,31.5,31.5,31.5,31.5
Slovenia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.6,12.54,12.48,12.42,12.36,12.3,12.15,12,11.84,11.69,11.54,11.78,12.02,12.26,12.5,12.74,12.46,12.18,11.9,..
Slovenia,Prevalence of current tobacco use (% of adults),25.1,24.92,24.74,24.56,24.38,24.2,24.06,23.92,23.78,23.64,23.5,23.34,23.18,23.02,22.86,22.7,22.57,22.43,22.3,22.3
Solomon Islands,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.2,1.28,1.36,1.44,1.52,1.6,1.6,1.6,1.6,1.6,1.6,1.59,1.58,1.57,1.56,1.55,1.64,1.74,1.83,..
Solomon Islands,Prevalence of current tobacco use (% of adults),43.5,43.06,42.62,42.18,41.74,41.3,40.96,40.62,40.28,39.94,39.6,39.26,38.92,38.58,38.24,37.9,37.53,37.17,36.8,36.8
Somalia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0,0.01,0.03,0.04,0.05,0.07,0.11,0.15,0.2,0.24,0.28,0.23,0.17,0.12,0.07,0.01,0.01,0.01,0.01,..
Somalia,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
South Africa,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.02,9.93,9.84,9.76,9.67,9.58,9.67,9.76,9.86,9.95,10.04,9.95,9.87,9.78,9.7,9.61,9.58,9.55,9.52,..
South Africa,Prevalence of current tobacco use (% of adults),23.5,23.3,23.1,22.9,22.7,22.5,22.32,22.14,21.96,21.78,21.6,21.48,21.36,21.24,21.12,21,20.8,20.6,20.4,20.4
Spain,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.43,12.51,12.59,12.67,12.75,12.83,12.27,11.71,11.15,10.59,10.03,10.29,10.55,10.8,11.06,11.32,11.79,12.25,12.72,..
Spain,Prevalence of current tobacco use (% of adults),36.8,36.3,35.8,35.3,34.8,34.3,33.82,33.34,32.86,32.38,31.9,31.46,31.02,30.58,30.14,29.7,29.17,28.63,28.1,28.1
Sri Lanka,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.22,2.29,2.37,2.44,2.52,2.59,2.86,3.12,3.39,3.65,3.92,3.96,3.99,4.03,4.06,4.1,4.1,4.1,4.1,..
Sri Lanka,Prevalence of current tobacco use (% of adults),28.5,28.1,27.7,27.3,26.9,26.5,26.16,25.82,25.48,25.14,24.8,24.5,24.2,23.9,23.6,23.3,22.97,22.63,22.3,22.3
St. Kitts and Nevis,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.51,9.91,10.32,10.72,11.13,11.53,11.11,10.7,10.28,9.87,9.45,9.34,9.22,9.11,8.99,8.88,8.9,8.92,8.94,..
St. Kitts and Nevis,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Saint Lucia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.8,11.76,11.73,11.69,11.66,11.62,11.23,10.85,10.46,10.08,9.69,9.74,9.8,9.85,9.91,9.96,10.17,10.39,10.6,..
Saint Lucia,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Saint Vincent and the Grenadines,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.01,5.21,5.4,5.6,5.79,5.99,6.2,6.41,6.61,6.82,7.03,7.32,7.6,7.89,8.17,8.46,8.66,8.86,9.06,..
Saint Vincent and the Grenadines,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Sudan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.52,0.52,0.51,0.51,..
Sudan,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Suriname,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.29,5.31,5.34,5.36,5.39,5.41,5.57,5.73,5.9,6.06,6.22,6.14,6.06,5.97,5.89,5.81,5.65,5.49,5.33,..
Suriname,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Sweden,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.53,8.55,8.57,8.6,8.62,8.64,8.81,8.98,9.15,9.32,9.49,9.42,9.35,9.27,9.2,9.13,9.06,9,8.93,..
Sweden,Prevalence of current tobacco use (% of adults),43.8,42.56,41.32,40.08,38.84,37.6,36.54,35.48,34.42,33.36,32.3,31.42,30.54,29.66,28.78,27.9,26.87,25.83,24.8,24.8
Switzerland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.49,12.32,12.15,11.98,11.81,11.64,11.59,11.55,11.5,11.46,11.41,11.44,11.48,11.51,11.55,11.58,11.56,11.55,11.53,..
Switzerland,Prevalence of current tobacco use (% of adults),28.3,28.18,28.06,27.94,27.82,27.7,27.54,27.38,27.22,27.06,26.9,26.76,26.62,26.48,26.34,26.2,26.03,25.87,25.7,25.7
Syrian Arab Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.15,1.1,1.06,1.01,0.97,0.92,0.91,0.9,0.9,0.89,0.88,0.76,0.64,0.52,0.4,0.28,0.27,0.25,0.24,..
Syrian Arab Republic,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Tajikistan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.97,2.88,2.79,2.69,2.6,2.51,2.49,2.47,2.44,2.42,2.4,2.54,2.68,2.83,2.97,3.11,3.17,3.22,3.28,..
Tajikistan,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Tanzania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.63,8.65,8.66,8.68,8.69,8.71,8.92,9.12,9.33,9.53,9.74,10,10.26,10.53,10.79,11.05,11.12,11.2,11.27,..
Tanzania,Prevalence of current tobacco use (% of adults),27.8,26.38,24.96,23.54,22.12,20.7,19.66,18.62,17.58,16.54,15.5,14.72,13.94,13.16,12.38,11.6,10.8,10,9.2,9.2
Thailand,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.49,6.55,6.62,6.68,6.75,6.81,6.99,7.17,7.35,7.53,7.71,7.84,7.97,8.1,8.23,8.36,8.34,8.32,8.3,..
Thailand,Prevalence of current tobacco use (% of adults),31.7,31.12,30.54,29.96,29.38,28.8,28.3,27.8,27.3,26.8,26.3,25.86,25.42,24.98,24.54,24.1,23.57,23.03,22.5,22.5
Timor-Leste,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.53,1.39,1.25,1.11,0.97,0.83,0.8,0.78,0.75,0.73,0.7,0.96,1.22,1.49,1.75,2.01,2.06,2.12,2.17,..
Timor-Leste,Prevalence of current tobacco use (% of adults),53.5,52.7,51.9,51.1,50.3,49.5,48.8,48.1,47.4,46.7,46,45.3,44.6,43.9,43.2,42.5,41.6,40.7,39.8,39.8
Togo,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.79,2.08,2.38,2.67,2.97,3.26,3.03,2.8,2.57,2.34,2.11,2.16,2.21,2.27,2.32,2.37,2.4,2.43,2.46,..
Togo,Prevalence of current tobacco use (% of adults),14.4,13.9,13.4,12.9,12.4,11.9,11.48,11.06,10.64,10.22,9.8,9.48,9.16,8.84,8.52,8.2,7.83,7.47,7.1,7.1
Tonga,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.7,1.82,1.95,2.07,2.2,2.32,2.13,1.95,1.76,1.58,1.39,1.25,1.11,0.96,0.82,0.68,0.72,0.76,0.8,..
Tonga,Prevalence of current tobacco use (% of adults),33.5,33.36,33.22,33.08,32.94,32.8,32.66,32.52,32.38,32.24,32.1,32,31.9,31.8,31.7,31.6,31.43,31.27,31.1,31.1
Trinidad and Tobago,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.27,5.45,5.63,5.81,5.99,6.17,6.18,6.19,6.19,6.2,6.21,6.34,6.48,6.61,6.75,6.88,6.83,6.77,6.72,..
Trinidad and Tobago,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Tunisia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.36,1.38,1.4,1.42,1.44,1.46,1.45,1.44,1.42,1.41,1.4,1.52,1.64,1.75,1.87,1.99,2.03,2.08,2.12,..
Tunisia,Prevalence of current tobacco use (% of adults),34.3,33.76,33.22,32.68,32.14,31.6,31.08,30.56,30.04,29.52,29,28.52,28.04,27.56,27.08,26.6,26.07,25.53,25,25
Türkiye,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.41,2.35,2.29,2.24,2.18,2.12,2.16,2.2,2.24,2.28,2.32,2.28,2.24,2.2,2.16,2.12,2.1,2.07,2.05,..
Türkiye,Prevalence of current tobacco use (% of adults),32.9,32.76,32.62,32.48,32.34,32.2,32.1,32,31.9,31.8,31.7,31.58,31.46,31.34,31.22,31.1,31.03,30.97,30.9,30.9
Turkmenistan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.82,4.83,4.84,4.86,4.87,4.88,4.87,4.86,4.84,4.83,4.82,4.92,5.01,5.11,5.2,5.3,5.18,5.05,4.93,..
Turkmenistan,Prevalence of current tobacco use (% of adults),12,11.58,11.16,10.74,10.32,9.9,9.56,9.22,8.88,8.54,8.2,7.9,7.6,7.3,7,6.7,6.4,6.1,5.8,5.8
